菜单组编码[必填],菜单组名称[必填],菜单编码[必填],菜单名称[必填],菜单描述,菜单图标URL,菜单路径URL,菜单父节点编码,菜单元素类型[0-菜单 1-按钮 2-其它],菜单状态[0-有效 1-无效],删除标识[0-不删除 1-删除],菜单排序[可填写整数（越小越前）或同级菜单编码（排在它后面）。编码排序会更新同级菜单的整数排序]
DGI_MENU_GROUP,DGI菜单分组,model_center,模型中心,,robot,,,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,model_plaza,模型广场,,RobotOutlined,/model-space,model_center,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,model_experience,模型体验,,MessageOutlined,/model-experience,model_center,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,model_experience_chat_completion,文本模型,,TypeOutline,/model-experience/text,model_experience,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,model_experience_vl_model,VL模型,,Image,/model-experience/vl-model,model_experience,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,model_experience_rerank,重排模型,,ArrowDownWideNarrow,/model-experience/rerank,model_experience,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,access_key,访问密钥,,KeyRound,/access-key,model_center,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,logs,日志,,ClipboardClock,/invoke-log,model_center,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,model_service,模型服务,,api,,,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,channel_management,渠道管理,,ApiOutlined,/channel-manage,model_service,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,model_settings,模型设置,,SettingOutlined,/other-settings,model_service,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,model_config,模型设置,,,,model_settings,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,content_security,内容安全,,,,model_settings,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,model_management,模型运维,,robot,,,0,0,1,
DGI_MENU_GROUP,DGI菜单分组,model_overview,概览,,AlignRightOutlined,/model-manager/overview,model_management,0,0,1,
DGI_MENU_GROUP,DGI菜单分组,my_models,我的模型,,Package,/model-manager/list,model_management,0,0,1,
DGI_MENU_GROUP,DGI菜单分组,model_deployment,模型部署,,LayoutDashboard,/model-manager/resources,model_management,0,0,1,
DGI_MENU_GROUP,DGI菜单分组,monitoring_alerts,监控告警,,monitor,,,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,monitoring_center,监控中心,,AreaChartOutlined,/analysis,monitoring_alerts,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,computing_power_resources,算力资源,,,,monitoring_center,0,0,1,
DGI_MENU_GROUP,DGI菜单分组,model_requests,模型请求,,,/model-request,monitoring_center,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,statistics_overview,概览,,,,model_requests,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,statistics_key,密钥,,KeyRound,,model_requests,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,statistics_model,模型,,,,model_requests,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,statistics_abnormal,异常,,,,model_requests,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,request_content_security,内容安全,,,,model_requests,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,statistics_user,用户,,,,model_requests,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,alert,告警,,BellRing,/alarm-manage,monitoring_alerts,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,alert_rules,告警规则,,FileExclamationOutlined,/monitoring/rules,alert,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,event_management,事件管理,,ControlOutlined,/monitoring/events,alert,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,system_management,系统管理,,setting,,,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,approval_management,审批管理,,,/approval,system_management,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,approval_pending,待审批,,UserPen,/approval/pending,approval_management,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,approval_pending_quota,额度,,,/approval/pending/quota,approval_pending,1,0,1,
DGI_MENU_GROUP,DGI菜单分组,approval_pending_model,模型,,,/approval/pending/model,approval_pending,1,0,1,
DGI_MENU_GROUP,DGI菜单分组,approval_approved,已审批,,UserRoundCheck,/approval/approved,approval_management,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,approval_approved_quota,额度,,,/approval/approved/quota,approval_approved,1,0,1,
DGI_MENU_GROUP,DGI菜单分组,approval_approved_model,模型,,,/approval/approved/model,approval_approved,1,0,1,
DGI_MENU_GROUP,DGI菜单分组,approval_submitted,我提交的,,UserPlus,/approval/submitted,approval_management,0,0,0,
DGI_MENU_GROUP,DGI菜单分组,approval_submitted_quota,额度,,,/approval/submitted/quota,approval_submitted,1,0,1,
DGI_MENU_GROUP,DGI菜单分组,approval_submitted_model,模型,,,/approval/submitted/model,approval_submitted,1,0,1,
DGI_MENU_GROUP,DGI菜单分组,system_config,系统配置,,ToyBrick,/system-config,system_management,0,0,0,
