菜单组编码[必填],菜单组名称[必填],菜单编码[必填],菜单名称[必填],菜单描述,菜单图标URL,菜单路径URL,菜单父节点编码,菜单元素类型[0-菜单 1-按钮 2-其它],菜单状态[0-有效 1-无效],删除标识[0-不删除 1-删除],菜单排序[可填写整数（越小越前）或同级菜单编码（排在它后面）。编码排序会更新同级菜单的整数排序],版本标识[v6ALL-通用 v5-仅v5 v6-仅v6独立部署]
Lab_MENU_GROUP,lab菜单分组,home,首页,,home,/home,,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,large_model,大模型,,RobotOutlined,,,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,data_services,数据服务,,DatabaseOutlined,,large_model,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,data_management,数据管理,,DatabaseOutlined,,data_services,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,training_management,训练数据管理,,,/datasets,data_management,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,test_management,测试数据管理,,,/measurement,data_management,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,Inference_result,推理结果集,,,/Inference,data_management,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,data_processing,数据处理,,BarcodeOutlined,,data_services,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,data_annotation,数据标注,,,/data-annotation,data_processing,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,data_cleaning,数据清洗,,,/data-cleaning,data_processing,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,model_training,模型训练,,CloudServerOutlined,,large_model,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,online_notebook,在线Notebook,,CloudServerOutlined,/finetune/notebooks,model_training,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,large_model_training,大模型训练,,ThunderboltOutlined,/training,model_training,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,model_management,我的模型,,AppstoreOutlined,/model,model_training,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,evaluation_management,模型评估,,BoxPlotOutlined,,large_model,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,effect_evaluation,效果评估,,RadarChartOutlined,/effect-evaluation,evaluation_management,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,evaluation_indicator,评估指标,,BoxPlotOutlined ,/evaluation-indicator,evaluation_management,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,model_service,模型服务,,DeploymentUnitOutlined,,large_model,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,service_inference_hosted,大模型部署,,DeploymentUnitOutlined,/service/inference/hosted,model_service,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,service_inference_external,在线推理服务,v1.1.0,,/service/inference/external,model_service,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,machine_learn,机器学习,,RobotOutlined,,,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,machine_data_management,数据管理,,,/machine-data-management,machine_learn,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,MACHINE_ANNOTATION,数据标注,,DeploymentUnitOutlined,/machine-annotation,machine_learn,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,MACHINE_MODEL_MANAGER,我的模型,,,/michine-model-manager,machine_learn,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,MACHINE_MODEL_DEPLOYMENT,大模型部署,,,/machine-model-deployment,machine_learn,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,MACHINE_NOTEBOOK,在线Notebook,,,/machine-notebook,machine_learn,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,MIRROR,自定义镜像,,,/machine-notebook/mirror,MACHINE_NOTEBOOK,1,0,0,,
Lab_MENU_GROUP,lab菜单分组,admin,系统管理,,AppstoreOutlined,,,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,admin_project,项目管理,,ProjectOutlined,/admin/projects,admin,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,kubernetes,集群管理,,CloudServerOutlined,/admin/kubernetes,admin,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,storage_config,存储配置,,HddOutlined,/admin/storage,admin,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,mirror_management,镜像管理,,ContainerOutlined,,admin,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,mirror_list,镜像列表,,,/admin/registry/list,mirror_management,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,mirror_repository,镜像仓库,,,/admin/registry,mirror_management,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,basic_model,模型仓库,,AppstoreOutlined,/admin/base-model,admin,0,0,0,,
Lab_MENU_GROUP,lab菜单分组,admin_settings,系统配置,,,/admin/settings,admin,0,0,0,,
